ticket,opening_time_utc,closing_time_utc,type,lots,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd
169734453,2021-04-01T07:12:27,2021-04-01T07:14:01,buy,0.05,XAUUSDm,1717.6000000000001,1717.884,0,0,0,0,1.42
169734371,2021-04-01T07:12:05,2021-04-01T07:13:02,buy,0.05,XAUUSDm,1717.128,1717.544,0,0,0,0,2.08
169733276,2021-04-01T07:06:41,2021-04-01T07:08:53,buy,0.05,XAUUSDm,1715.133,1715.3,0,0,0,0,0.83
169731788,2021-04-01T07:00:29,2021-04-01T07:08:43,sell,0.05,GBPAUDm,1.8233400000000002,1.82292,0,0,0,0,1.58
169731424,2021-04-01T06:59:31,2021-04-01T07:07:43,sell,0.05,GBPAUDm,1.82343,1.82322,0,0,0,0,0.8
169715559,2021-04-01T05:17:40,2021-04-01T06:55:18,sell,0.05,BTCUSDm,58753.58,58888.22,0,0,0,0,-6.73
169725403,2021-04-01T06:29:28,2021-04-01T06:54:48,sell,0.06,GBPAUDm,1.82414,1.82366,0,0,0,0,2.18
169718235,2021-04-01T05:38:49,2021-04-01T05:45:33,buy,0.06,XAUUSDm,1714.332,1714.806,0,0,0,0,2.85
169714106,2021-04-01T05:07:24,2021-04-01T05:29:00,sell,0.01,EURUSDm,1.1713900000000002,1.17184,0,0,0,0,-0.45
169716041,2021-04-01T05:22:29,2021-04-01T05:28:54,buy,0.05,XAUUSDm,1711.814,1712.202,0,0,0,0,1.94
169714643,2021-04-01T05:11:07,2021-04-01T05:25:53,buy,0.01,EURUSDm,1.1716900000000001,1.1716900000000001,0,0,0,0,0
169712107,2021-04-01T04:56:19,2021-04-01T05:05:43,sell,0.01,EURUSDm,1.1716300000000002,1.1716000000000002,0,1.171,0,0,0.03
169709398,2021-04-01T04:40:27,2021-04-01T05:03:15,sell,0.01,EURUSDm,1.1722700000000001,1.1715300000000002,0,1.171,0,0,0.74
169676417,2021-04-01T01:46:31,2021-04-01T04:48:32,buy,0.01,EURUSDm,1.17293,1.172,1.172,1.17285,0,0,-0.93
169705808,2021-04-01T04:01:44,2021-04-01T04:32:48,buy,0.01,EURAUDm,1.5487400000000002,1.5493400000000002,0,0,0,0,0.45
169706835,2021-04-01T04:12:14,2021-04-01T04:19:35,sell,0.01,EURUSDm,1.1724800000000002,1.1724800000000002,0,0,0,0,0
169698433,2021-04-01T03:04:00,2021-04-01T03:25:01,buy,0.01,XAUUSDm,1713.314,1713.598,0,1715,0,0,0.29
169680440,2021-04-01T01:56:31,2021-04-01T03:08:01,buy,0.01,XAUUSDm,1710.5240000000001,1713.401,0,1750,0,0,2.88
169676977,2021-04-01T01:50:42,2021-04-01T02:30:05,sell,0.01,CHFJPYm,117.11800000000001,117.129,0,0,0,0,-0.1
169670067,2021-04-01T00:42:55,2021-04-01T01:36:55,buy,0.01,BTCUSDm,59021.03,58996.020000000004,59000,59600,0,0,-0.25
169665163,2021-03-31T23:40:21,2021-04-01T01:25:04,buy,0.01,EURCADm,1.4735200000000002,1.47395,1.467,1.486,0,0,0.34
169665773,2021-03-31T23:55:23,2021-04-01T00:40:13,sell,0.01,XAUUSDm,1708.122,1708,1708,1705.001,0,0,0.12
169640747,2021-03-31T16:59:52,2021-03-31T18:46:30,buy,0.01,EURUSDm,1.17504,1.173,1.173,1.177,0,0,-2.04
169638357,2021-03-31T16:39:41,2021-03-31T16:43:25,buy,0.01,EURUSDm,1.1749200000000002,1.175,1.1743,1.175,0,0,0.08
169635535,2021-03-31T16:18:00,2021-03-31T16:35:19,buy,0.01,XAUUSDm,1710.064,1710.153,0,0,0,0,0.09
